,DSTRCT_PPR_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
410,0.0,8.9,0.0,0.0,19.3,13.9,76.3,0.0,76.3,0.0,0.0,0.0,0.0,0.0,0.0,62.4,0.0,양주시,0.0,1.2,0.0,0.0,0.0,11.9,0.0,5.5,0.0,15.6,0.0,9.3,0.0,소각,0.0,0.0,4.6,0.0,경기,2017
411,0.8,0.0,4.2,0.2,0.0,0.0,0.0,0.3,61.4,0.5,0.0,0.0,0.0,49.8,0.0,0.0,11.6,양주시,0.0,0.0,0.0,0.1,0.0,0.0,1.4,0.0,0.4,0.0,1.5,0.0,0.5,재활용,0.0,1.7,0.0,0.0,경기,2017
412,0.3,2.8,1.1,0.0,18.0,13.1,79.0,0.1,119.9,0.0,13.1,2.7,5.5,31.3,0.0,60.4,9.6,포천시,0.0,1.6,0.0,0.1,0.0,23.7,0.3,9.8,0.5,4.5,1.8,0.0,0.5,발생량,0.0,2.2,0.0,0.0,경기,2017
413,0.0,0.0,0.0,0.0,0.0,13.1,13.1,0.0,13.1,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,포천시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,경기,2017
414,0.0,2.4,0.0,0.0,15.5,0.0,57.7,0.0,61.7,0.0,0.0,0.0,5.5,4.0,0.0,52.2,0.0,포천시,0.0,1.4,0.0,0.0,0.0,20.5,0.0,8.5,0.0,3.9,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,경기,2017
415,0.3,0.4,1.1,0.0,2.5,0.0,8.2,0.1,45.1,0.0,0.0,2.7,0.0,27.3,0.0,8.2,9.6,포천시,0.0,0.2,0.0,0.1,0.0,3.2,0.3,1.3,0.5,0.6,1.8,0.0,0.5,재활용,0.0,2.2,0.0,0.0,경기,2017
416,4.1,0.0,0.0,0.0,9.9,18.5,38.4,9.6,125.5,0.0,7.2,0.0,0.0,32.8,0.0,19.9,54.3,여주시,0.0,0.7,0.0,0.0,0.0,0.9,14.2,1.3,0.0,7.1,2.3,0.5,7.6,발생량,9.2,16.5,1.6,0.0,경기,2017
417,0.0,0.0,0.0,0.0,0.0,18.5,18.5,0.0,18.5,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,여주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,매립,9.2,0.0,1.6,0.0,경기,2017
418,0.0,0.0,0.0,0.0,9.9,0.0,19.9,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,여주시,0.0,0.7,0.0,0.0,0.0,0.9,0.0,1.3,0.0,7.1,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,경기,2017
419,4.1,0.0,0.0,0.0,0.0,0.0,0.0,9.6,87.1,0.0,0.0,0.0,0.0,32.8,0.0,0.0,54.3,여주시,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,2.3,0.0,7.6,재활용,0.0,16.5,0.0,0.0,경기,2017
