,DSTRCT_PPR_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
0,4130.2,424.5,607.5,112.5,2656.4,2932.7,18224.4,0,42355.2,481.6,445.6,325.5,0,11736.6,148.5,15291.7,12394.2,합계,27.0,820.7,4.9,46.2,203.7,5132.0,968.8,1218.2,1902.2,5039.9,1067.3,343.0,663.1,발생량,1731.3,1693.9,412.8,11.4,전국,2014
1,0.0,125.1,0.0,0.0,652.2,2309.5,6150.9,0,6271.7,0.0,372.4,0.0,0,120.8,0.0,3841.4,0.0,합계,0.0,179.0,0.0,0.0,0.0,1523.4,0.0,246.7,0.0,1115.0,0.0,240.0,0.0,매립,1392.4,0.0,304.7,0.0,전국,2014
2,0.0,260.3,0.0,0.0,1876.1,540.4,11306.3,0,11530.6,0.0,58.1,0.0,0,224.3,0.0,10765.9,0.0,합계,0.0,617.0,0.0,0.0,0.0,3383.4,0.0,914.7,0.0,3714.4,0.0,86.1,0.0,소각,309.2,0.0,87.0,0.0,전국,2014
3,4130.2,39.1,607.5,112.5,128.1,82.8,767.2,0,24552.9,481.6,15.1,325.5,0,11391.5,148.5,684.4,12394.2,합계,27.0,24.7,4.9,46.2,203.7,225.2,968.8,56.8,1902.2,210.5,1067.3,16.9,663.1,재활용,29.7,1693.9,21.1,11.4,전국,2014
4,29.5,0.0,1.1,3.6,0.5,0.2,120.5,0,290.9,0.0,0.0,0.0,0,77.0,0.9,120.3,93.4,종로구,3.0,0.7,0.0,0.7,0.6,115.2,12.2,3.4,0.3,0.5,14.8,0.0,8.0,발생량,0.2,18.7,0.0,0.0,서울,2014
5,0.0,0.0,0.0,0.0,0.3,0.2,32.4,0,32.4,0.0,0.0,0.0,0,0.0,0.0,32.2,0.0,종로구,0.0,0.2,0.0,0.0,0.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.2,0.0,0.0,0.0,서울,2014
6,0.0,0.0,0.0,0.0,0.2,0.0,88.1,0,88.1,0.0,0.0,0.0,0,0.0,0.0,88.1,0.0,종로구,0.0,0.5,0.0,0.0,0.0,83.5,0.0,3.4,0.0,0.5,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울,2014
7,29.5,0.0,1.1,3.6,0.0,0.0,0.0,0,170.4,0.0,0.0,0.0,0,77.0,0.9,0.0,93.4,종로구,3.0,0.0,0.0,0.7,0.6,0.0,12.2,0.0,0.3,0.0,14.8,0.0,8.0,재활용,0.0,18.7,0.0,0.0,서울,2014
8,141.4,0.0,0.0,0.0,25.7,1.0,152.0,0,410.6,0.0,0.0,0.0,0,82.3,0.3,151.0,176.3,중구,0.0,12.8,0.0,0.0,0.0,56.7,0.2,18.3,22.1,37.5,0.9,0.0,2.0,발생량,0.0,9.4,1.0,0.0,서울,2014
9,0.0,0.0,0.0,0.0,1.8,1.0,19.4,0,19.4,0.0,0.0,0.0,0,0.0,0.0,18.4,0.0,중구,0.0,1.9,0.0,0.0,0.0,6.2,0.0,2.7,0.0,5.8,0.0,0.0,0.0,매립,0.0,0.0,1.0,0.0,서울,2014
