,DSTRCT_PPR_KIND_QTY,DSTRCT_RSDL_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,아산시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,충남,2018
562,0.0,0.0,18.0,0.0,0.0,31.8,7.3,147.4,0.0,147.4,0.0,1.8,0.0,0.0,0.0,0.0,140.1,0.0,아산시,0.0,13.8,0.0,0.0,0.0,25.2,0.0,15.4,0.0,35.9,0.0,2.5,0.0,소각,0.0,0.0,3.0,0.0,충남,2018
563,35.0,3.7,0.0,0.0,4.9,0.0,1.9,1.9,0.1,343.9,0.0,1.7,0.0,0.0,111.0,0.0,0.0,231.0,아산시,0.7,0.0,0.0,0.0,1.7,0.0,0.4,0.0,176.4,0.0,5.5,0.1,1.4,재활용,0.1,1.2,0.0,0.0,충남,2018
564,0.7,2.9,9.1,0.0,0.6,22.0,5.8,89.8,0.1,148.3,5.2,0.3,0.0,0.0,44.1,0.0,84.0,14.4,서산시,0.0,0.9,0.0,0.0,0.0,12.0,0.8,10.0,0.2,30.0,2.0,1.9,0.4,발생량,1.3,1.5,2.3,0.0,충남,2018
565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서산시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,충남,2018
566,0.0,0.0,9.1,0.0,0.0,22.0,5.8,89.8,0.0,89.8,0.0,0.3,0.0,0.0,0.0,0.0,84.0,0.0,서산시,0.0,0.9,0.0,0.0,0.0,12.0,0.0,10.0,0.0,30.0,0.0,1.9,0.0,소각,1.3,0.0,2.3,0.0,충남,2018
567,0.7,2.9,0.0,0.0,0.6,0.0,0.0,0.0,0.1,58.5,5.2,0.0,0.0,0.0,44.1,0.0,0.0,14.4,서산시,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,2.0,0.0,0.4,재활용,0.0,1.5,0.0,0.0,충남,2018
568,4.4,2.9,0.0,0.0,0.2,14.1,39.8,81.7,3.6,170.2,10.0,16.5,4.9,0.0,35.2,2.1,41.9,53.3,논산시,0.0,9.4,0.0,0.0,11.4,5.5,2.2,2.4,3.1,10.5,3.9,1.9,0.7,발생량,12.8,3.9,8.6,0.0,충남,2018
569,0.0,0.0,0.0,0.0,0.0,0.0,39.6,39.6,0.0,39.6,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,논산시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,매립,12.8,0.0,8.6,0.0,충남,2018
570,0.0,0.0,0.0,0.0,0.0,14.1,0.0,40.9,0.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,40.9,0.0,논산시,0.0,9.4,0.0,0.0,0.0,5.5,0.0,2.4,0.0,9.5,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,충남,2018
