,DSTRCT_PPR_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
0,4133.8,972.1,706.0,120.1,2858.7,2773.9,18157.2,0,43411.2,440.3,298.7,374.6,0,13325.5,48.0,15383.3,11928.5,합계,15.2,817.2,5.0,20.8,146.3,4600.6,1014.9,1087.7,1630.8,5047.0,1017.5,404.3,664.9,발생량,1590.9,1580.9,480.0,9.4,전국,2015
1,0.0,224.1,0.0,0.0,748.7,2066.8,5806.4,0,5953.2,0.0,253.5,0.0,0,146.8,0.0,3739.6,0.0,합계,0.0,182.8,0.0,0.0,0.0,1208.5,0.0,210.4,0.0,1165.1,0.0,208.4,0.0,매립,1241.4,0.0,363.5,0.0,전국,2015
2,0.0,737.9,0.0,0.0,1983.8,648.3,11761.7,0,12074.9,0.0,43.5,0.0,0,313.2,0.0,11113.4,0.0,합계,0.0,624.4,0.0,0.0,0.0,3263.5,0.0,828.1,0.0,3675.7,0.0,177.4,0.0,소각,326.4,0.0,101.0,0.0,전국,2015
3,4133.8,10.1,706.0,120.1,126.2,58.8,589.1,0,25383.1,440.3,1.7,374.6,0,12865.5,48.0,530.3,11928.5,합계,15.2,10.0,5.0,20.8,146.3,128.6,1014.9,49.2,1630.8,206.2,1017.5,18.5,664.9,재활용,23.1,1580.9,15.5,9.4,전국,2015
4,26.6,0.0,1.2,4.0,0.5,0.3,103.3,0,284.3,0.0,0.0,0.0,0,89.8,13.0,103.0,91.2,종로구,2.9,0.4,0.0,0.4,0.5,97.4,4.1,4.1,0.4,0.6,12.0,0.0,9.2,발생량,0.3,16.9,0.0,0.0,서울,2015
5,0.0,0.0,0.0,0.0,0.4,0.3,30.8,0,30.8,0.0,0.0,0.0,0,0.0,0.0,30.5,0.0,종로구,0.0,0.3,0.0,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.3,0.0,0.0,0.0,서울,2015
6,0.0,0.0,0.0,0.0,0.1,0.0,72.5,0,72.5,0.0,0.0,0.0,0,0.0,0.0,72.5,0.0,종로구,0.0,0.1,0.0,0.0,0.0,67.6,0.0,4.1,0.0,0.6,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울,2015
7,26.6,0.0,1.2,4.0,0.0,0.0,0.0,0,181.0,0.0,0.0,0.0,0,89.8,13.0,0.0,91.2,종로구,2.9,0.0,0.0,0.4,0.5,0.0,4.1,0.0,0.4,0.0,12.0,0.0,9.2,재활용,0.0,16.9,0.0,0.0,서울,2015
8,140.5,0.0,0.0,0.0,24.7,1.0,151.1,0,434.3,0.0,0.0,0.0,0,106.8,0.4,150.1,176.4,중구,0.0,12.9,0.0,0.0,0.0,56.2,0.4,18.3,22.0,38.0,0.8,0.0,1.8,발생량,0.0,10.5,1.0,0.0,서울,2015
9,0.0,0.0,0.0,0.0,1.9,1.0,20.4,0,20.4,0.0,0.0,0.0,0,0.0,0.0,19.4,0.0,중구,0.0,2.0,0.0,0.0,0.0,7.1,0.0,2.7,0.0,5.7,0.0,0.0,0.0,매립,0.0,0.0,1.0,0.0,서울,2015
